timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1495662301647,198,457 /,200,"Number of samples in transaction : 32, number of failing samples : 0",Thread Group 1-1,,true,,116379,14954,1,1,197,58,41
1495662301905,380,565 /user,200,,Thread Group 1-1,text,true,,713,501,1,1,379,0,0
1495662301904,380,565 /user,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,713,501,1,1,379,1,0
1495662302286,3,1 /,200,,Thread Group 1-1,text,true,,2371,456,1,1,3,0,0
1495662302290,5,26 /templates/calendario/calendario.html,200,,Thread Group 1-1,text,true,,1423,424,1,1,5,0,0
1495662302295,5,48 /templates/layouts/main-layout.html,200,,Thread Group 1-1,text,true,,912,422,1,1,5,0,0
1495662302300,5,47 /templates/home/home-template.html,200,,Thread Group 1-1,text,true,,8084,421,1,1,5,0,0
1495662302306,4,46 /templates/footer/footer.html,200,,Thread Group 1-1,text,true,,736,416,1,1,4,0,0
1495662302310,4,50 /templates/header/header.html,200,,Thread Group 1-1,text,true,,678,416,1,1,4,0,0
1495662302314,3,51 /templates/login/login.html,200,,Thread Group 1-1,text,true,,1811,414,1,1,3,0,0
1495662302318,4,55 /templates/password/password-recovery.html,200,,Thread Group 1-1,text,true,,2247,429,1,1,4,0,0
1495662302323,4,56 /templates/reservas/biblioteca/biblioteca.html,200,,Thread Group 1-1,text,true,,8402,433,1,1,4,0,0
1495662302327,4,54 /templates/password/password-change.html,200,,Thread Group 1-1,text,true,,2112,427,1,1,4,0,0
1495662302332,4,59 /templates/reservas/canchas/tenis.html,200,,Thread Group 1-1,text,true,,4305,425,1,1,4,0,0
1495662302337,3,63 /templates/administrador/usuarios/usuarios.html,200,,Thread Group 1-1,text,true,,8128,434,1,1,3,0,0
1495662302340,4,62 /templates/reservas/biblioteca/computadores.html,200,,Thread Group 1-1,text,true,,4016,435,1,1,4,0,0
1495662302345,3,66 /templates/administrador/usuarios/consultar-usuario.html,200,,Thread Group 1-1,text,true,,3062,443,1,1,3,0,0
1495662302348,3,70 /templates/administrador/usuarios/eliminar-usuario.html,200,,Thread Group 1-1,text,true,,2610,442,1,1,3,0,0
1495662302352,4,71 /templates/administrador/usuarios/crear-usuario.html,200,,Thread Group 1-1,text,true,,3655,439,1,1,4,0,0
1495662302356,3,73 /templates/administrador/usuarios/actualizar-usuario.html,200,,Thread Group 1-1,text,true,,4200,444,1,1,3,0,0
1495662302360,3,74 /templates/administrador/usuarios/editar-usuario.html,200,,Thread Group 1-1,text,true,,4886,440,1,1,3,0,0
1495662302364,3,72 /templates/espacios/canchas.html,200,,Thread Group 1-1,text,true,,9646,419,1,1,3,0,0
1495662302367,5,75 /templates/reservas/biblioteca/EspaciosDisponibles.html,200,,Thread Group 1-1,text,true,,2619,442,1,1,5,0,0
1495662302372,4,76 /templates/espacios/gimnasio.html,200,,Thread Group 1-1,text,true,,2517,420,1,1,4,0,0
1495662302377,3,83 /templates/reservas/canchas/canchaMultiple.html,200,,Thread Group 1-1,text,true,,3567,434,1,1,3,0,0
1495662302380,4,84 /templates/reservas/biblioteca/cubiculoEstudio.html,200,,Thread Group 1-1,text,true,,3591,438,1,1,4,0,0
1495662302385,4,86 /templates/reservas/canchas/canchaFutbolTenis.html,200,,Thread Group 1-1,text,true,,3574,437,1,1,4,0,0
1495662302390,4,89 /templates/reservas/confirmarReserva.html,200,,Thread Group 1-1,text,true,,3090,428,1,1,4,0,0
1495662302395,4,88 /templates/reservas/biblioteca/cubiculoVideo.html,200,,Thread Group 1-1,text,true,,3569,436,1,1,4,0,0
1495662302400,4,92 /templates/administrador/bloques/generar-bloques.html,200,,Thread Group 1-1,text,true,,3136,440,1,1,3,0,0
1495662302404,4,93 /templates/administrador/bloques/eliminar-bloques.html,200,,Thread Group 1-1,text,true,,2840,441,1,1,4,0,0
1495662302409,6,97 /templates/administrador/graficas/pruebaGrafica.html,200,,Thread Group 1-1,text,true,,2773,439,1,1,6,0,0
1495662302416,4,99 /templates/administrador/graficas/pruebaHistorico.html,200,,Thread Group 1-1,text,true,,2671,441,1,1,4,0,0
1495662302421,9,102 /templates/reservas/laboratorios/laboratorios.html,200,,Thread Group 1-1,text,true,,7816,437,1,1,9,0,0
1495662302430,5,106 /templates/reservas/consultar-reservas.html,200,,Thread Group 1-1,text,true,,1332,430,1,1,5,0,0
1495662302285,131,1 /,200,"Number of samples in transaction : 32, number of failing samples : 0",Thread Group 1-1,,true,,116379,13842,1,1,130,19,0
