timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1495689755626,139,457 /,200,,Thread Group 1-1,text,true,,2371,452,1,1,139,0,2
1495689755766,9,477 /templates/calendario/calendario.html,200,,Thread Group 1-1,text,true,,1423,460,1,1,9,0,0
1495689755775,6,501 /templates/header/header.html,200,,Thread Group 1-1,text,true,,678,452,1,1,6,0,0
1495689755781,5,502 /templates/layouts/main-layout.html,200,,Thread Group 1-1,text,true,,912,458,1,1,5,0,0
1495689755786,5,505 /templates/footer/footer.html,200,,Thread Group 1-1,text,true,,736,452,1,1,5,0,0
1495689755791,6,506 /templates/home/home-template.html,200,,Thread Group 1-1,text,true,,8084,457,1,1,6,0,0
1495689755797,5,507 /templates/login/login.html,200,,Thread Group 1-1,text,true,,1811,450,1,1,5,0,0
1495689755802,5,508 /templates/password/password-recovery.html,200,,Thread Group 1-1,text,true,,2247,465,1,1,5,0,0
1495689755807,5,512 /templates/password/password-change.html,200,,Thread Group 1-1,text,true,,2112,463,1,1,5,0,0
1495689755812,5,516 /templates/reservas/biblioteca/biblioteca.html,200,,Thread Group 1-1,text,true,,8402,469,1,1,5,0,0
1495689755817,5,517 /templates/reservas/canchas/tenis.html,200,,Thread Group 1-1,text,true,,4305,461,1,1,5,0,0
1495689755822,8,518 /templates/reservas/biblioteca/computadores.html,200,,Thread Group 1-1,text,true,,4016,471,1,1,8,0,0
1495689755831,5,520 /templates/administrador/usuarios/usuarios.html,200,,Thread Group 1-1,text,true,,8128,470,1,1,5,0,0
1495689755836,6,521 /templates/administrador/usuarios/consultar-usuario.html,200,,Thread Group 1-1,text,true,,3062,479,1,1,6,0,0
1495689755842,4,523 /templates/administrador/usuarios/crear-usuario.html,200,,Thread Group 1-1,text,true,,3655,475,1,1,4,0,0
1495689755846,6,526 /templates/administrador/usuarios/actualizar-usuario.html,200,,Thread Group 1-1,text,true,,4200,480,1,1,6,0,0
1495689755852,5,529 /templates/administrador/usuarios/editar-usuario.html,200,,Thread Group 1-1,text,true,,4886,476,1,1,5,0,0
1495689755857,5,531 /templates/administrador/usuarios/eliminar-usuario.html,200,,Thread Group 1-1,text,true,,2610,478,1,1,5,0,0
1495689755862,5,532 /templates/reservas/biblioteca/EspaciosDisponibles.html,200,,Thread Group 1-1,text,true,,2619,478,1,1,5,0,0
1495689755867,5,535 /templates/espacios/gimnasio.html,200,,Thread Group 1-1,text,true,,2517,456,1,1,5,0,0
1495689755872,4,534 /templates/espacios/canchas.html,200,,Thread Group 1-1,text,true,,9646,455,1,1,4,0,0
1495689755877,5,537 /templates/reservas/canchas/canchaMultiple.html,200,,Thread Group 1-1,text,true,,3567,470,1,1,5,0,0
1495689755882,4,540 /templates/reservas/canchas/canchaFutbolTenis.html,200,,Thread Group 1-1,text,true,,3574,473,1,1,4,0,0
