timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1495736100104,95,526 /templates/administrador/usuarios/actualizar-usuario.html,200,,Thread Group 1-2,text,true,,4246,520,2,2,95,0,0
1495736100104,95,48 /templates/layouts/main-layout.html,200,,Thread Group 1-1,text,true,,958,462,2,2,95,0,0
1495736100199,95,529 /templates/administrador/usuarios/editar-usuario.html,200,,Thread Group 1-2,text,true,,4932,516,2,2,95,0,0
1495736100199,95,47 /templates/home/home-template.html,200,,Thread Group 1-1,text,true,,8130,461,2,2,95,0,0
1495736100295,93,46 /templates/footer/footer.html,200,,Thread Group 1-1,text,true,,782,456,2,2,93,0,0
1495736100295,94,531 /templates/administrador/usuarios/eliminar-usuario.html,200,,Thread Group 1-2,text,true,,2656,518,2,2,94,0,0
1495736100389,90,50 /templates/header/header.html,200,,Thread Group 1-1,text,true,,724,456,2,2,90,0,0
1495736100390,103,532 /templates/reservas/biblioteca/EspaciosDisponibles.html,200,,Thread Group 1-2,text,true,,2665,518,2,2,103,0,0
1495736100479,86,51 /templates/login/login.html,200,,Thread Group 1-1,text,true,,1857,454,3,3,86,0,0
1495736100493,91,535 /templates/espacios/gimnasio.html,200,,Thread Group 1-2,text,true,,2563,496,3,3,91,0,0
1495736100504,208,457 /,200,,Thread Group 1-3,text,true,,2417,492,3,3,208,0,105
1495736100565,184,55 /templates/password/password-recovery.html,200,,Thread Group 1-1,text,true,,2293,469,3,3,184,0,96
1495736100584,191,534 /templates/espacios/canchas.html,200,,Thread Group 1-2,text,true,,9692,495,3,3,191,0,88
1495736100713,106,477 /templates/calendario/calendario.html,200,,Thread Group 1-3,text,true,,1469,500,3,3,106,0,0
1495736100749,99,56 /templates/reservas/biblioteca/biblioteca.html,200,,Thread Group 1-1,text,true,,8448,473,3,3,99,0,0
1495736100775,95,537 /templates/reservas/canchas/canchaMultiple.html,200,,Thread Group 1-2,text,true,,3613,510,3,3,95,0,0
1495736100819,95,501 /templates/header/header.html,200,,Thread Group 1-3,text,true,,724,492,3,3,95,0,0
1495736100848,98,54 /templates/password/password-change.html,200,,Thread Group 1-1,text,true,,2158,467,3,3,98,0,0
1495736100870,88,540 /templates/reservas/canchas/canchaFutbolTenis.html,200,,Thread Group 1-2,text,true,,3620,513,3,3,88,0,0
1495736100914,91,502 /templates/layouts/main-layout.html,200,,Thread Group 1-3,text,true,,958,498,3,3,91,0,0
1495736100946,94,59 /templates/reservas/canchas/tenis.html,200,,Thread Group 1-1,text,true,,4351,465,3,3,94,0,0
1495736100958,95,543 /templates/reservas/biblioteca/cubiculoEstudio.html,200,,Thread Group 1-2,text,true,,3637,514,3,3,95,0,0
1495736101005,87,505 /templates/footer/footer.html,200,,Thread Group 1-3,text,true,,782,492,3,3,87,0,0
1495736101040,95,63 /templates/administrador/usuarios/usuarios.html,200,,Thread Group 1-1,text,true,,8174,474,3,3,95,0,0
1495736101053,96,545 /templates/reservas/biblioteca/cubiculoVideo.html,200,,Thread Group 1-2,text,true,,3615,512,3,3,96,0,0
1495736101092,91,506 /templates/home/home-template.html,200,,Thread Group 1-3,text,true,,8130,497,3,3,91,0,0
1495736101135,100,62 /templates/reservas/biblioteca/computadores.html,200,,Thread Group 1-1,text,true,,4062,475,3,3,100,0,0
1495736101149,99,547 /templates/reservas/confirmarReserva.html,200,,Thread Group 1-2,text,true,,3136,504,3,3,99,0,0
1495736101183,94,507 /templates/login/login.html,200,,Thread Group 1-3,text,true,,1857,490,3,3,94,0,0
1495736101235,94,66 /templates/administrador/usuarios/consultar-usuario.html,200,,Thread Group 1-1,text,true,,3108,483,3,3,94,0,0
1495736101248,94,549 /templates/administrador/bloques/generar-bloques.html,200,,Thread Group 1-2,text,true,,3182,516,3,3,94,0,0
1495736101277,87,508 /templates/password/password-recovery.html,200,,Thread Group 1-3,text,true,,2293,505,3,3,87,0,0
1495736101329,98,70 /templates/administrador/usuarios/eliminar-usuario.html,200,,Thread Group 1-1,text,true,,2656,482,3,3,98,0,0
1495736101342,97,551 /templates/administrador/bloques/eliminar-bloques.html,200,,Thread Group 1-2,text,true,,2886,517,3,3,97,0,0
1495736101364,100,512 /templates/password/password-change.html,200,,Thread Group 1-3,text,true,,2158,503,3,3,100,0,0
1495736101427,93,71 /templates/administrador/usuarios/crear-usuario.html,200,,Thread Group 1-1,text,true,,3701,479,3,3,93,0,0
1495736101439,95,553 /templates/administrador/graficas/pruebaGrafica.html,200,,Thread Group 1-2,text,true,,2819,515,3,3,95,0,0
1495736101464,91,516 /templates/reservas/biblioteca/biblioteca.html,200,,Thread Group 1-3,text,true,,8448,509,3,3,91,0,0
1495736101520,94,73 /templates/administrador/usuarios/actualizar-usuario.html,200,,Thread Group 1-1,text,true,,4246,484,3,3,94,0,0
1495736101534,91,555 /templates/administrador/graficas/pruebaHistorico.html,200,,Thread Group 1-2,text,true,,2717,517,3,3,91,0,0
1495736101556,94,517 /templates/reservas/canchas/tenis.html,200,,Thread Group 1-3,text,true,,4351,501,3,3,94,0,0
1495736101614,95,74 /templates/administrador/usuarios/editar-usuario.html,200,,Thread Group 1-1,text,true,,4932,480,3,3,95,0,0
1495736101625,96,557 /templates/reservas/laboratorios/laboratorios.html,200,,Thread Group 1-2,text,true,,7862,513,3,3,96,0,0
1495736101650,98,518 /templates/reservas/biblioteca/computadores.html,200,,Thread Group 1-3,text,true,,4062,511,3,3,98,0,0
1495736101721,99,562 /templates/reservas/consultar-reservas.html,200,,Thread Group 1-2,text,true,,1378,506,3,3,99,0,0
1495736098502,3312,457 /,200,"Number of samples in transaction : 32, number of failing samples : 0",Thread Group 1-2,,true,,117851,16234,3,3,3312,6,184
1495736101709,113,72 /templates/espacios/canchas.html,200,,Thread Group 1-1,text,true,,9692,459,3,3,113,0,0
1495736101748,96,520 /templates/administrador/usuarios/usuarios.html,200,,Thread Group 1-3,text,true,,8174,510,3,3,96,0,0
1495736101820,96,565 /user,401,,Thread Group 1-2,text,false,,528,502,3,3,96,0,0
1495736101820,96,565 /user,,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-2,,false,,528,502,3,3,96,0,0
1495736101822,96,75 /templates/reservas/biblioteca/EspaciosDisponibles.html,200,,Thread Group 1-1,text,true,,2665,482,3,3,96,0,0
1495736101844,98,521 /templates/administrador/usuarios/consultar-usuario.html,200,,Thread Group 1-3,text,true,,3108,519,3,3,98,0,0
1495736101918,125,76 /templates/espacios/gimnasio.html,200,,Thread Group 1-1,text,true,,2563,460,3,3,125,0,0
1495736101942,103,523 /templates/administrador/usuarios/crear-usuario.html,200,,Thread Group 1-3,text,true,,3701,515,3,3,103,0,0
1495736101916,131,1 /,200,,Thread Group 1-2,text,true,,2417,496,3,3,131,0,0
1495736102047,96,26 /templates/calendario/calendario.html,200,,Thread Group 1-2,text,true,,1469,464,3,3,96,0,0
1495736102043,102,83 /templates/reservas/canchas/canchaMultiple.html,200,,Thread Group 1-1,text,true,,3613,474,3,3,102,0,0
1495736102045,102,526 /templates/administrador/usuarios/actualizar-usuario.html,200,,Thread Group 1-3,text,true,,4246,520,3,3,102,0,0
1495736102145,99,84 /templates/reservas/biblioteca/cubiculoEstudio.html,200,,Thread Group 1-1,text,true,,3637,478,3,3,99,0,0
1495736102143,101,48 /templates/layouts/main-layout.html,200,,Thread Group 1-2,text,true,,958,462,3,3,101,0,0
